                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.95594,                 3.2768,                0.33115,                0.79342,                 1.1494,                 0.8537,                0.76767,                0.87536,                 0.6432,                0.79664,                0.69566,                0.73904,                0.42448,                0.95594,                  2.949,                0.32244,                0.73802,                 1.1334,               0.001783,               0.001783,               0.001783
                     86,                0.94405,                 3.2264,                0.32813,                0.78069,                 1.1445,                0.84418,                0.77531,                0.87407,                0.64247,                0.79054,                0.69566,                0.73841,                0.42539,                0.95258,                 2.9447,                0.32222,                0.73721,                  1.131,               0.001684,               0.001684,               0.001684
                     87,                 0.9526,                 3.2424,                0.32911,                0.78724,                 1.1487,                0.83703,                0.78175,                0.87391,                0.64323,                0.79187,                0.69255,                0.73588,                0.42453,                0.95214,                 2.9409,                0.32142,                0.73723,                 1.1326,               0.001585,               0.001585,               0.001585
                     88,                0.94104,                  3.222,                0.32744,                0.78193,                 1.1435,                0.84021,                0.77996,                0.87358,                0.64382,                0.78977,                 0.6941,                0.73849,                0.42702,                0.95363,                 2.9412,                0.32081,                0.73624,                 1.1337,               0.001486,               0.001486,               0.001486
                     89,                 0.9354,                 3.2294,                0.32896,                0.78191,                 1.1396,                0.84015,                0.78391,                0.87554,                0.64385,                0.80784,                 0.6894,                0.74256,                0.42784,                0.95348,                 2.9363,                0.32092,                 0.7345,                  1.133,               0.001387,               0.001387,               0.001387
                     90,                0.93925,                 3.2025,                0.32865,                0.77802,                 1.1403,                0.83595,                0.78824,                0.87545,                0.64356,                0.79239,                0.69656,                 0.7407,                0.42702,                0.95303,                 2.9327,                0.32065,                0.73495,                 1.1324,               0.001288,               0.001288,               0.001288
                     91,                0.88144,                 2.6583,                0.32044,                0.67737,                 1.1044,                0.83958,                0.78488,                 0.8751,                0.64252,                 0.8035,                0.68985,                0.74111,                0.42881,                0.95194,                 2.9315,                0.32088,                0.73472,                 1.1318,               0.001189,               0.001189,               0.001189
                     92,                0.86871,                 2.6098,                 0.3168,                0.65873,                 1.0954,                0.84546,                0.78131,                0.87595,                0.64381,                0.81272,                0.68448,                0.74176,                0.42998,                0.95308,                 2.9339,                0.32111,                0.73475,                 1.1324,                0.00109,                0.00109,                0.00109
                     93,                0.86438,                 2.5875,                0.31742,                 0.6499,                 1.0938,                0.83915,                0.78511,                  0.877,                0.64338,                0.80987,                0.68135,                0.73952,                0.43015,                0.95318,                 2.9377,                0.32146,                0.73339,                 1.1329,               0.000991,               0.000991,               0.000991
                     94,                0.86227,                 2.5714,                0.31541,                0.64659,                 1.0894,                0.83673,                0.78153,                0.87648,                0.64265,                0.81812,                0.68094,                0.74057,                0.43007,                0.95406,                 2.9388,                0.32129,                0.73231,                 1.1344,               0.000892,               0.000892,               0.000892
                     95,                 0.8517,                 2.5404,                0.31455,                0.63707,                 1.0862,                0.85255,                 0.7706,                0.87661,                0.64324,                0.82412,                0.68001,                 0.7432,                0.43032,                0.95582,                 2.9383,                0.32094,                0.73132,                 1.1359,               0.000793,               0.000793,               0.000793
                     96,                0.85523,                 2.5264,                0.31362,                0.63299,                 1.0834,                  0.853,                0.77205,                0.87627,                0.64296,                0.82015,                0.67911,                0.73989,                0.42885,                0.95701,                 2.9388,                0.32077,                0.73011,                 1.1363,               0.000694,               0.000694,               0.000694
                     97,                 0.8438,                 2.5159,                0.31251,                0.63032,                 1.0809,                0.84252,                0.78481,                0.87598,                0.64258,                0.81905,                 0.6771,                0.74048,                0.42962,                0.95597,                 2.9399,                0.32077,                0.72856,                 1.1364,               0.000595,               0.000595,               0.000595
                     98,                0.84384,                 2.4606,                  0.312,                0.62469,                 1.0798,                 0.8449,                0.78399,                0.87652,                0.64332,                0.80687,                0.68481,                 0.7396,                 0.4294,                0.95504,                 2.9372,                0.32068,                0.72801,                 1.1366,               0.000496,               0.000496,               0.000496
                     99,                0.83769,                 2.4795,                0.31239,                0.62113,                 1.0781,                0.84678,                0.78348,                0.87649,                0.64323,                0.79747,                0.69032,                 0.7403,                0.42894,                0.95471,                 2.9362,                0.32032,                0.72954,                 1.1362,               0.000397,               0.000397,               0.000397
                    100,                0.83492,                 2.4543,                0.31106,                0.62292,                 1.0774,                0.84989,                0.78118,                0.87717,                0.64354,                0.79664,                0.69432,                0.74016,                0.42968,                 0.9543,                 2.9328,                0.32002,                0.72945,                 1.1357,               0.000298,               0.000298,               0.000298
